Milestone,Backlog Story Item,Task,Status,Points,Hours Spent,Notes,,Point Multiplier,Predicted Time,Time Left,
Report,Literature review,AI in games Paper Review 1,Complete,4,6,,,1.50,4.3,,
Report,Literature review,AI in games Paper Review 2,Complete,4,3,,,0.75,4.3,,
Report,Literature review,AI in games Paper Review 3,Complete,4,3,,,0.75,4.3,,
Report,Literature review,AI in games Paper Review 4,Complete,4,4,,,1.00,4.3,,
Report,Literature review,Advancements in AI Paper Review 1,Complete,4,2,,,0.50,4.3,,
Report,Literature review,Advancements in AI Paper Review 2,Complete,4,2,,,0.50,4.3,,
Report,Literature review,Advancements in AI Paper Review 3,Complete,4,3,,,0.75,4.3,,
Report,Literature review,Advancements in AI Paper Review 4,Complete,4,5,,,1.25,4.3,,
Report,Literature review,Advancements in AI Paper Review 5,Complete,4,6,,,1.50,4.3,,
Report,Literature review,Advancements in AI Paper Review 6,Complete,4,3,,,0.75,4.3,,
Report,Literature review,AI in academia Write Up 1,Complete,1,2,,,2.00,1.1,,
Report,Literature review,AI in academia Write Up 2,Complete,1,0.5,,,0.50,1.1,,
Report,Literature review,AI in games Write Up 1,Complete,1,2,,,2.00,1.1,,
Report,Literature review,AI in games Write Up 2,Complete,1,2,,,2.00,1.1,,
Report,Literature review,Advancements in AI Write up 1,Complete,1,1,,,1.00,1.1,,
Report,Literature review,Advancements in AI Write up 2,Complete,1,4,Had to redo this I needed to write about a new paper,,4.00,1.1,,
Report,Literature review,Convert to Latex,Complete,0.5,2,,,4.00,0.5,,
Report,Literature review,Fetch References,Complete,0.5,0.5,,,1.00,0.5,,
Report,Literature review,Edits from Feedback,Complete,2,2,,,1.00,2.1,,
Report,Literature review,Edits from Peer Feedback,Complete,2,0,,,0.00,2.1,,
Report,,,Empty,,,,,,0.0,0.00,
Report,Design,Design Structure,Complete,0.5,0.5,,,1.00,0.5,,
Report,Design,Stakeholders Text,Complete,2,2.5,,,1.25,2.1,,
Report,Design,Requirements List Text,Complete,2,3,,,1.50,2.1,,
Report,Design,Evaluation Plan Text,In Progress,0.5,,,,,0.5,0.53,
Report,Design,Project Structure Text,In Progress,1,,,,,1.1,1.07,
Report,Design,Graph creation,In Progress,1,,,,,1.1,1.07,
Report,Design,Important Technologies Text,In Progress,0.5,,,,,0.5,0.53,
Report,Design,Risks Text,Complete,1,0.5,,,0.50,1.1,,
Report,Design,Approach Text,Complete,2,2,,,1.00,2.1,,
Report,Design,Task Breakdown,In Progress,2,,,,,2.1,2.14,
Report,Design,Milestone Deliveries Text,In Progress,0.5,,,,,0.5,0.53,
Report,Design,Convert to Latex,In Progress,0.5,,,,,0.5,0.53,
Report,Design,Fetch References,Not Started,0.5,,,,,0.5,0.53,
Report,Design,Edits from Feedback,Not Started,2,,,,,2.1,2.14,
Report,Design,Edits from Peer Feedback,Not Started,1,,,,,1.1,1.07,
Report,,,Empty,,,,,,0.0,0.00,
Report,Implementation,Implementation Structure,Not Started,0.5,,,,,0.5,0.53,
Report,Implementation,Convert to Latex,Not Started,2,,,,,2.1,2.14,
Report,Implementation,Fetch References,Not Started,1,,,,,1.1,1.07,
Report,Implementation,Edits from Feedback,Not Started,2,,,,,2.1,2.14,
Report,Implementation,Edits from Peer Feedback,Not Started,2,,,,,2.1,2.14,
Report,,,Empty,,,,,,0.0,0.00,
Report,Evaluation,Evaluation Structure,Not Started,0.5,,,,,0.5,0.53,
Report,Evaluation,Convert to Latex,Not Started,1,,,,,1.1,1.07,
Report,Evaluation,Fetch References,Not Started,1,,,,,1.1,1.07,
Report,Evaluation,Edits from Feedback,Not Started,2,,,,,2.1,2.14,
Report,Evaluation,Edits from Peer Feedback,Not Started,1,,,,,1.1,1.07,
Report,,,Empty,,,,,,0.0,0.00,
Report,Conclusion,Conclusion Structure,Not Started,0.5,,,,,0.5,0.53,
Report,Conclusion,Convert to Latex,Not Started,0.5,,,,,0.5,0.53,
Report,Conclusion,Fetch References,Not Started,1,,,,,1.1,1.07,
Report,Conclusion,Edits from Feedback,Not Started,2,,,,,2.1,2.14,
Report,Conclusion,Edits from Peer Feedback,Not Started,1,,,,,1.1,1.07,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
Video Submission,Planning,Video Plan,Not Started,2,,,,,2.1,2.14,
Video Submission,Planning,Plan Feedback,Not Started,2,,,,,2.1,2.14,
Video Submission,Recording,Record,Not Started,2,,,,,2.1,2.14,
Video Submission,Recording,Recording Feedback,Not Started,2,,,,,2.1,2.14,
Video Submission,Editing,Editing,Not Started,4,,,,,4.3,4.28,
Video Submission,Editing,Editing Feedback,Not Started,4,,,,,4.3,4.28,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
Project Setup,Version Control,Create Github Repository,Complete,0.1,0.1,,,1.00,0.1,,
Project Setup,Version Control,Git Ignore file,Complete,0.1,0.1,,,1.00,0.1,,
Project Setup,Version Control,Readme with Setup instructions,Complete,0.1,0.1,,,1.00,0.1,,
Project Setup,,,Empty,,,,,,0.0,0.00,
Project Setup,Inital Code,Collect Dependency list,Complete,1,0.5,,,0.50,1.1,,
Project Setup,Inital Code,What Python Version?,Complete,1,2.5,"Had to change python version, as I found new dependencys",,2.50,1.1,,
Project Setup,Inital Code,launch.json,Complete,0.1,0.1,,,1.00,0.1,,
Project Setup,Inital Code,requirements.txt,Complete,0.5,0.25,,,0.50,0.5,,
Project Setup,Inital Code,venv (Virtual environment),Complete,0.5,0.5,,,1.00,0.5,,
Project Setup,,,Empty,,,,,,0.0,0.00,
Project Setup,CI CD,Python Types Investigation,Complete,2,1.5,,,0.75,2.1,,
Project Setup,CI CD,Python Syntax checking Investigation,Complete,0.5,0.5,,,1.00,0.5,,
Project Setup,CI CD,Unit tests example,Complete,0.5,0.5,,,1.00,0.5,,
Project Setup,CI CD,Python Types Example,Complete,1,0.5,,,0.50,1.1,,
Project Setup,CI CD,Add Syntax checking ,Complete,0.1,0.1,,,1.00,0.1,,
Project Setup,CI CD,Github Actions for running tests,Complete,1,3,,,3.00,1.1,,
Project Setup,CI CD,Add tests badges to Readme,Complete,0.1,0.3,Tests need to be in different files to create multiple badges,,3.00,0.1,,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
ProtoTyping,Environment setup,Create Base Environment class,Complete,2,,,,,2.1,2.14,
ProtoTyping,Environment setup,Create Gym env class,Complete,2,,,,,2.1,2.14,
ProtoTyping,Environment setup,Environment Frame stack wrapper,Complete,1,,,,,1.1,1.07,
ProtoTyping,Environment setup,Environment Action Duplication wrapper,Complete,0.5,,,,,0.5,0.53,
ProtoTyping,Environment setup,Environment Auto restart atari game wrapper,Complete,1,,,,,1.1,1.07,
ProtoTyping,Environment setup,Environment atari preprocessing wrapper,Complete,2,,,,,2.1,2.14,
ProtoTyping,Environment setup,Setup Multiple agent environment,Not Started,3,,,,,3.2,3.21,
ProtoTyping,,,Empty,,,,,,0.0,0.00,
ProtoTyping,Agents Setup,create Base Agent class,Complete,1,1,,,1.00,1.1,,
ProtoTyping,Agents Setup,random agent,Complete,0.5,0.25,,,0.50,0.5,,
ProtoTyping,Agents Setup,dqn agent,In Progress,8,,,,,8.6,8.56,
ProtoTyping,Agents Setup,human interface agent,Complete,2,1,,,0.50,2.1,,
ProtoTyping,Agents Setup,tree search agent,In Progress,4,,,,,4.3,4.28,
ProtoTyping,Agents Setup,monte carlo agent,In Progress,8,,,,,8.6,8.56,
ProtoTyping,,,Empty,,,,,,0.0,0.00,
ProtoTyping,Forward Model,create forward model class,Complete,2,2,,,1.00,2.1,,
ProtoTyping,Forward Model,create base predictor class,Complete,2,3,,,1.50,2.1,,
ProtoTyping,Forward Model,xgboost predictor,Complete,4,4,,,1.00,4.3,,
ProtoTyping,Forward Model,ensemble predictor,Complete,4,2,,,0.50,4.3,,
ProtoTyping,Forward Model,linear predictor,Complete,3,2,,,0.67,3.2,,
ProtoTyping,,,Empty,,,,,,0.0,0.00,
ProtoTyping,Datamanager,"Datamanager (helper, holder class ",Complete,4,6,,,1.50,4.3,,
ProtoTyping,Datamanager,replay buffer,Complete,3,4,,,1.33,3.2,,
ProtoTyping,Datamanager,priorities holder,Complete,5,3,,,0.60,5.3,,
ProtoTyping,,,Empty,,,,,,0.0,0.00,
ProtoTyping,Helper / utility classes,Logger,Complete,1,1,,,1.00,1.1,,
ProtoTyping,Helper / utility classes,add wandb to logger,Complete,2,2,,,1.00,2.1,,
ProtoTyping,Helper / utility classes,timer helper ,Complete,1,0.5,,,0.50,1.1,,
ProtoTyping,Helper / utility classes,type hints helper,Complete,3,2,,,0.67,3.2,,
ProtoTyping,Helper / utility classes,network model helper,In Progress,4,,,,,4.3,4.28,
ProtoTyping,Helper / utility classes,config helper,Complete,2,3,,,1.50,2.1,,
ProtoTyping,Helper / utility classes,singleton helper,Complete,1,1,,,1.00,1.1,,
ProtoTyping,Helper / utility classes,userinput / command line argument parse,Complete,4,3,,,0.75,4.3,,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
MVP,Distribution Investigation,WSL Investigation,Complete,2,0.5,,,0.25,2.1,,
MVP,Distribution Investigation,TF GPU Prototype,Complete,1,4,,,4.00,1.1,,
MVP,Distribution Investigation,Docker Investigation,Complete,2,1,,,0.50,2.1,,
MVP,Distribution Investigation,Replay Store Investigation,Complete,2,3,,,1.50,2.1,,
MVP,Distribution Investigation,Model Store Prototype,Complete,1,0.5,,,0.50,1.1,,
MVP,Distribution Investigation,Docker Volumes Prototype,Complete,1,0.5,,,0.50,1.1,,
MVP,Distribution Investigation,Mount Source code Test,Complete,2,0.5,,,0.25,2.1,,
MVP,Distribution Investigation,Docker Compose Investigation,Complete,0.5,1,,,2.00,0.5,,
MVP,Distribution Investigation,Webserver Prototype,Complete,4,0.5,,,0.13,4.3,,
MVP,Distribution Investigation,Replay Video Creation Prototype,Complete,2,0.5,,,0.25,2.1,,
MVP,,,Empty,,,,,,0.0,0.00,
MVP,Distribution,Worker Docker Image,Complete,1,1,,,1.00,1.1,,
MVP,Distribution,Webserver Docker Image,Complete,0.5,0.5,,,1.00,0.5,,
MVP,Distribution,Reverb Image,Complete,1,2,,,2.00,1.1,,
MVP,Distribution,Redis Container Setup ,Complete,0.5,0.5,,,1.00,0.5,,
MVP,Distribution,integrate wandb for distribution,Not Started,3,,,,,3.2,3.21,
MVP,,,Empty,,,,,,0.0,0.00,
MVP,,,Empty,,,,,,0.0,0.00,
MVP,,,Empty,,,,,,0.0,0.00,
MVP,env performance,encoder network,Not Started,4,,,,,4.3,4.28,
MVP,env performance,decoder network,Not Started,4,,,,,4.3,4.28,
MVP,env performance,policy network,Not Started,6,,,,,6.4,6.42,
MVP,env performance,forward model,Not Started,8,,,,,8.6,8.56,
MVP,,,Empty,,,,,,0.0,0.00,
MVP,human-like,how and where to store human replays,Not Started,4,,,,,4.3,4.28,
MVP,human-like,discriminator,Not Started,4,,,,,4.3,4.28,
MVP,human-like,GAN prototype,Not Started,8,,,,,8.6,8.56,
MVP,,,Empty,,,,,,0.0,0.00,
MVP,curated behaviour,ensemble confidence reward predictor,Not Started,6,,,,,6.4,6.42,
MVP,curated behaviour,choose poor confidence samples,Not Started,4,,,,,4.3,4.28,
MVP,curated behaviour,create videos of each sample,Not Started,4,,,,,4.3,4.28,
MVP,curated behaviour,show videos on webserver,Not Started,2,,,,,2.1,2.14,
MVP,curated behaviour,A B screen on webserver,Not Started,4,,,,,4.3,4.28,
MVP,curated behaviour,where and how to store human feedback,Not Started,4,,,,,4.3,4.28,
MVP,,,Empty,,,,,,0.0,0.00,
MVP,combining behaviours,create policy to combine policys,Not Started,2,,,,,2.1,2.14,
MVP,combining behaviours,investigate human feedback loops for tuning,Not Started,4,,,,,4.3,4.28,
MVP,combining behaviours,add page to webserver,Not Started,8,,,,,8.6,8.56,
MVP,,,Empty,,,,,,0.0,0.00,
MVP,Evaluation Investigation,how to track flops,In Progress,2,,,,,2.1,2.14,
MVP,Evaluation Investigation,pick what environments,Not Started,2,,,,,2.1,2.14,
MVP,Evaluation Investigation,how to run the turing test,Not Started,3,,,,,3.2,3.21,
MVP,Evaluation Investigation,human benchmarks for environments,Not Started,2,,,,,2.1,2.14,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
nice to have,distillation,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
Training / result collection,environment 1,setup env,Not Started,2,,,,,2.1,2.14,
Training / result collection,environment 1,hook up env real simulation,Not Started,4,,,,,4.3,4.28,
Training / result collection,environment 1,plan curated behaviours,Not Started,2,,,,,2.1,2.14,
Training / result collection,environment 1,hyper parameter sweep,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 1,fully train for performance,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 1,train for human-like,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 1,train for curated behaviours,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 1,build latent space of behaviours,Not Started,1,,,,,1.1,1.07,
Training / result collection,,,Empty,,,,,,0.0,0.00,
Training / result collection,environment 2,setup env,Not Started,2,,,,,2.1,2.14,
Training / result collection,environment 2,hook up env real simulation,Not Started,4,,,,,4.3,4.28,
Training / result collection,environment 2,plan curated behaviours,Not Started,2,,,,,2.1,2.14,
Training / result collection,environment 2,hyper parameter sweep,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 2,fully train for performance,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 2,train for human-like,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 2,train for curated behaviours,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 2,build latent space of behaviours,Not Started,1,,,,,1.1,1.07,
Training / result collection,,,Empty,,,,,,0.0,0.00,
Training / result collection,environment 3,setup env,Not Started,2,,,,,2.1,2.14,
Training / result collection,environment 3,hook up env real simulation,Not Started,4,,,,,4.3,4.28,
Training / result collection,environment 3,plan curated behaviours,Not Started,2,,,,,2.1,2.14,
Training / result collection,environment 3,hyper parameter sweep,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 3,fully train for performance,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 3,train for human-like,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 3,train for curated behaviours,Not Started,,,,,,0.0,0.00,
Training / result collection,environment 3,build latent space of behaviours,Not Started,1,,,,,1.1,1.07,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
Documentation,Documentation Investigation,What needs documenting,Not Started,2,,,,,2.1,2.14,
Documentation,Documentation Investigation,Where should it be hosted?,Not Started,1,,,,,1.1,1.07,
Documentation,Documentation Investigation,Automatic doc creation Investigation,Not Started,4,,,,,4.3,4.28,
Documentation,Documentation Investigation,Auto doc prototype,Not Started,4,,,,,4.3,4.28,
Documentation,,,Empty,,,,,,0.0,0.00,
Documentation,Create Documentation,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
